number,name,method,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
1,Adiac,CATCH22_SYM,0,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.44501278772378516
1,Adiac,CATCH22_SYM,1,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.44501278772378516
1,Adiac,CATCH22_SYM,2,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4782608695652174
1,Adiac,CATCH22_SYM,3,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.4782608695652174
1,Adiac,CATCH22_SYM,4,6,,,,,,quantile,resnet,,3.0,64.0,True,True,0.46547314578005117
1,Adiac,CATCH24,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.17391304347826086
1,Adiac,CATCH24,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.11764705882352941
1,Adiac,CATCH24,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.1867007672634271
1,Adiac,CATCH24,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.10485933503836317
1,Adiac,CATCH24,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.13810741687979539
1,Adiac,CATCH24,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.22762148337595908
1,Adiac,CATCH24,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.18925831202046037
1,Adiac,CATCH24,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.23273657289002558
1,Adiac,CATCH24,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.24552429667519182
1,Adiac,CATCH24,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.340153452685422
1,Adiac,CATCH24_SYM,0,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5882352941176471
1,Adiac,CATCH24_SYM,1,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5831202046035806
1,Adiac,CATCH24_SYM,2,6,3.0,4.0,128.0,64.0,,quantile,transformer,0.0,,,,,0.5677749360613811
