method,number,name,fold,symbolCount,numOfAttentionLayers,header,dmodel,dff,ncoef,strategy,architecture,dropout,num_resblocks,num_channels,use_1x1conv,lr,Test Accuracy
CATCH24,18,CricketY,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4666666666666667
CATCH24,18,CricketY,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.47692307692307695
CATCH24,18,CricketY,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4153846153846154
CATCH24,18,CricketY,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.3564102564102564
CATCH24,19,CricketZ,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4307692307692308
CATCH24,19,CricketZ,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.38974358974358975
CATCH24,19,CricketZ,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4230769230769231
CATCH24,19,CricketZ,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4076923076923077
CATCH24,19,CricketZ,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.4307692307692308
CATCH24,20,Crop,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6282738095238095
CATCH24,20,Crop,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.623452380952381
CATCH24,20,Crop,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6295833333333334
CATCH24,20,Crop,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6295238095238095
CATCH24,20,Crop,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6342857142857142
CATCH24,22,DistalPhalanxOutlineAgeGroup,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6834532374100719
CATCH24,22,DistalPhalanxOutlineAgeGroup,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6546762589928058
CATCH24,22,DistalPhalanxOutlineAgeGroup,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6906474820143885
CATCH24,22,DistalPhalanxOutlineAgeGroup,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.7482014388489209
CATCH24,22,DistalPhalanxOutlineAgeGroup,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.6618705035971223
CATCH24,23,DistalPhalanxOutlineCorrect,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7572463768115942
CATCH24,23,DistalPhalanxOutlineCorrect,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7391304347826086
CATCH24,23,DistalPhalanxOutlineCorrect,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7391304347826086
CATCH24,23,DistalPhalanxOutlineCorrect,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7427536231884058
CATCH24,23,DistalPhalanxOutlineCorrect,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7463768115942029
CATCH24,24,DistalPhalanxTW,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6618705035971223
CATCH24,24,DistalPhalanxTW,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6330935251798561
CATCH24,24,DistalPhalanxTW,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6330935251798561
CATCH24,24,DistalPhalanxTW,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6187050359712231
CATCH24,24,DistalPhalanxTW,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6258992805755396
CATCH24,28,ECG200,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.72
CATCH24,28,ECG200,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.71
CATCH24,28,ECG200,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.73
CATCH24,28,ECG200,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.77
CATCH24,28,ECG200,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.77
CATCH24,29,ECG5000,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9291111111111111
CATCH24,29,ECG5000,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9211111111111111
CATCH24,29,ECG5000,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9264444444444444
CATCH24,29,ECG5000,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9151111111111111
CATCH24,29,ECG5000,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.9222222222222223
CATCH24,36,FaceAll,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6272189349112426
CATCH24,36,FaceAll,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6562130177514793
CATCH24,36,FaceAll,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.642603550295858
CATCH24,36,FaceAll,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6390532544378699
CATCH24,36,FaceAll,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6479289940828402
CATCH24,38,FacesUCR,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5541463414634147
CATCH24,38,FacesUCR,1,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5131707317073171
CATCH24,38,FacesUCR,2,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5039024390243902
CATCH24,38,FacesUCR,3,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.5078048780487805
CATCH24,38,FacesUCR,4,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.49414634146341463
CATCH24,39,FiftyWords,0,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5758241758241758
CATCH24,39,FiftyWords,1,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5186813186813187
CATCH24,39,FiftyWords,2,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.49230769230769234
CATCH24,39,FiftyWords,3,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5054945054945055
CATCH24,39,FiftyWords,4,0,3.0,4.0,128.0,64.0,,,transformer,0.0,,,,,0.5252747252747253
CATCH24,40,Fish,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5828571428571429
CATCH24,40,Fish,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6057142857142858
CATCH24,40,Fish,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.64
CATCH24,40,Fish,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5371428571428571
CATCH24,40,Fish,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.5942857142857143
CATCH24,41,FordA,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8848484848484849
CATCH24,41,FordA,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8727272727272727
CATCH24,41,FordA,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8924242424242425
CATCH24,41,FordA,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.865909090909091
CATCH24,41,FordA,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8931818181818182
CATCH24,42,FordB,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7111111111111111
CATCH24,42,FordB,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7148148148148148
CATCH24,42,FordB,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7148148148148148
CATCH24,42,FordB,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7123456790123457
CATCH24,42,FordB,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7098765432098766
CATCH24,43,FreezerRegularTrain,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8740350877192983
CATCH24,43,FreezerRegularTrain,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9224561403508772
CATCH24,43,FreezerRegularTrain,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9326315789473684
CATCH24,43,FreezerRegularTrain,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7385964912280701
CATCH24,43,FreezerRegularTrain,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9403508771929825
CATCH24,51,GunPoint,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6266666666666667
CATCH24,51,GunPoint,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8666666666666667
CATCH24,51,GunPoint,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.6066666666666667
CATCH24,51,GunPoint,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7866666666666666
CATCH24,51,GunPoint,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.7333333333333333
CATCH24,52,GunPointAgeSpan,0,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8069620253164557
CATCH24,52,GunPointAgeSpan,1,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9208860759493671
CATCH24,52,GunPointAgeSpan,2,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8417721518987342
CATCH24,52,GunPointAgeSpan,3,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.9082278481012658
CATCH24,52,GunPointAgeSpan,4,0,,,,,,uniform,resnet,,3.0,64.0,True,True,0.8860759493670886
CATCH24,53,GunPointMaleVersusFemale,0,0,,,,,,uniform,resnet,,3.0,16.0,True,True,0.990506329113924
